,index,0
0,film,80
1,movie,56
2,one,43
3,like,35
4,story,32
5,good,24
6,even,24
7,full,24
8,us,23
9,performance,22
10,comedy,20
11,little,20
12,time,20
13,best,19
14,review,19
15,love,18
16,great,17
17,fun,17
18,isnt,17
19,doesnt,17
20,much,17
21,spanish,16
22,life,16
23,makes,15
24,well,15
25,films,15
26,bit,15
27,first,14
28,get,14
29,drama,14
30,may,14
31,performances,14
32,action,14
33,director,14
34,many,14
35,still,13
36,entertaining,13
37,man,13
38,cast,13
39,work,13
40,could,12
41,see,12
42,two,12
43,dont,12
44,enough,12
45,true,12
46,character,12
47,family,12
48,movies,11
49,never,11
50,everything,11
51,compelling,11
52,beautiful,11
53,gives,11
54,characters,11
55,genre,11
56,way,10
57,far,10
58,though,10
59,cant,10
60,find,10
61,funny,10
62,make,10
63,almost,10
64,emotional,10
65,take,10
66,humor,10
67,theres,10
68,game,10
69,sense,10
70,end,9
71,might,9
72,mind,9
73,script,9
74,powerful,9
75,made,9
76,piece,9
77,feel,9
78,quite,9
79,satisfying,8
80,thriller,8
81,fans,8
82,keeps,8
83,really,8
84,something,8
85,kind,8
86,rather,8
87,world,8
88,new,7
89,experience,7
90,thats,7
91,also,7
92,years,7
93,lives,7
94,go,7
95,home,7
96,dark,7
97,american,7
98,comic,7
99,better,7
100,tale,7
101,big,7
102,moments,7
103,pretty,7
104,simple,7
105,ever,7
106,year,7
107,high,7
108,around,7
109,would,6
110,know,6
111,original,6
112,truly,6
113,real,6
114,star,6
115,hard,6
116,people,6
117,adventure,6
118,spirit,6
119,things,6
120,watching,6
121,enjoyable,6
122,lot,6
123,watch,6
124,hero,6
125,affecting,6
126,sometimes,6
127,visual,6
128,yet,6
129,narrative,6
130,audiences,6
131,title,6
132,provocative,6
133,human,6
134,top,6
135,marvel,6
136,think,6
137,ultimately,6
138,directors,6
139,works,6
140,documentary,6
141,cinema,6
142,bad,6
143,stunning,6
144,long,6
145,familiar,6
146,less,6
147,flick,6
148,entertainment,6
149,manages,6
150,early,5
151,form,5
152,alive,5
153,ride,5
154,fast,5
155,power,5
156,war,5
157,acting,5
158,french,5
159,heart,5
160,youre,5
161,simply,5
162,feature,5
163,screen,5
164,create,5
165,romantic,5
166,delivers,5
167,turns,5
168,epic,5
169,every,5
170,2,5
171,deeply,5
172,right,5
173,portrait,5
174,comes,5
175,strong,5
176,jokes,5
177,back,5
178,youll,5
179,content,5
180,neither,5
181,superb,5
182,intellectual,5
183,fact,5
184,nothing,5
185,often,5
186,tone,5
187,left,5
188,give,5
189,young,5
190,perfect,5
191,look,5
192,show,5
193,dreams,5
194,want,5
195,without,5
196,lacks,5
197,surprisingly,5
198,fantasy,4
199,genuine,4
200,thoroughly,4
201,horror,4
202,actually,4
203,need,4
204,case,4
205,old,4
206,relevant,4
207,fresh,4
208,small,4
209,particularly,4
210,brilliant,4
211,occasionally,4
212,done,4
213,successful,4
214,start,4
215,engaging,4
216,romance,4
217,pleasure,4
218,adaptation,4
219,taken,4
220,stories,4
221,taking,4
222,predictable,4
223,perhaps,4
224,beauty,4
225,three,4
226,attention,4
227,sad,4
228,mr,4
229,emotionally,4
230,exciting,4
231,thing,4
232,happy,4
233,inside,4
234,whats,4
235,debut,4
236,sweet,4
237,summer,4
238,refreshingly,4
239,feels,4
240,subject,4
241,balance,4
242,serious,4
243,broad,4
244,role,4
245,worth,4
246,wonderful,4
247,turning,4
248,audience,4
249,future,4
250,despite,4
251,parable,4
252,trying,4
253,scene,4
254,nearly,4
255,lead,4
256,gripping,4
257,death,4
258,pop,4
259,style,4
260,whose,4
261,upon,4
262,utterly,4
263,maybe,4
264,intelligent,4
265,aspects,4
266,turn,4
267,politics,4
268,mark,4
269,inventive,4
270,effects,4
271,expect,4
272,hollywood,4
273,cinematography,4
274,kids,4
275,hours,4
276,least,4
277,part,4
278,decent,4
279,material,4
280,inspiring,4
281,adults,4
282,result,4
283,instead,4
284,matter,4
285,filmmaker,4
286,sports,4
287,relationship,4
288,witty,4
289,example,3
290,master,3
291,skills,3
292,imaginative,3
293,visually,3
294,boys,3
295,camera,3
296,scott,3
297,nevertheless,3
298,play,3
299,set,3
300,historical,3
301,brothers,3
302,wild,3
303,touch,3
304,brings,3
305,run,3
306,able,3
307,speak,3
308,violent,3
309,cinematic,3
310,authentic,3
311,likely,3
312,acted,3
313,offers,3
314,honest,3
315,main,3
316,provide,3
317,crowd,3
318,pleasing,3
319,series,3
320,blade,3
321,touching,3
322,plot,3
323,feeling,3
324,realistic,3
325,keep,3
326,lovely,3
327,entirely,3
328,angels,3
329,believe,3
330,bite,3
331,superhero,3
332,leads,3
333,fails,3
334,popcorn,3
335,shot,3
336,coen,3
337,history,3
338,making,3
339,sure,3
340,rush,3
341,entry,3
342,likable,3
343,idea,3
344,help,3
345,always,3
346,art,3
347,point,3
348,benefits,3
349,appealing,3
350,happen,3
351,easy,3
352,late,3
353,supporting,3
354,relationships,3
355,picture,3
356,expectations,3
357,smart,3
358,line,3
359,away,3
360,michael,3
361,appeal,3
362,natural,3
363,boasts,3
364,gets,3
365,rock,3
366,spectacle,3
367,whole,3
368,crafted,3
369,winning,3
370,light,3
371,creates,3
372,common,3
373,already,3
374,alien,3
375,dogs,3
376,necessarily,3
377,scenes,3
378,state,3
379,effective,3
380,wish,3
381,john,3
382,thought,3
383,got,3
384,effortlessly,3
385,awards,3
386,dead,3
387,dialogue,3
388,rare,3
389,individual,3
390,father,3
391,grand,3
392,takes,3
393,easily,3
394,several,3
395,ways,3
396,woman,3
397,highly,3
398,events,3
399,profound,3
400,seem,3
401,going,3
402,questions,3
403,baseball,3
404,core,3
405,adult,3
406,charms,3
407,shock,3
408,trip,3
409,remains,3
410,book,3
411,short,3
412,become,3
413,towards,3
414,avoids,3
415,older,3
416,hope,3
417,seen,3
418,said,3
419,dazzling,3
420,lady,3
421,dream,3
422,complex,3
423,house,3
424,finding,3
425,paul,3
426,heartbreaking,3
427,especially,3
428,thoughtful,3
429,finale,3
430,thrilling,3
431,tribute,3
432,certainly,3
433,personal,3
434,combination,3
435,lies,3
436,everywhere,3
437,shows,3
438,looking,3
439,seems,3
440,vision,3
441,enjoy,3
442,fiction,3
443,direction,3
444,king,3
445,together,3
446,artists,3
447,body,3
448,job,3
449,effect,3
450,enjoyed,3
451,tell,3
452,goofy,3
453,national,3
454,final,3
455,inner,3
456,beyond,3
457,scary,3
458,sort,3
459,exceptional,3
460,fine,3
461,although,3
462,nonetheless,3
463,thanks,3
464,rich,3
465,pixar,3
466,precisely,3
467,european,3
468,inspiration,3
469,macabre,3
470,efforts,3
471,craft,3
472,insightful,3
473,modern,3
474,study,3
475,name,2
476,eyepopping,2
477,remarkably,2
478,lord,2
479,whiff,2
480,today,2
481,believable,2
482,ill,2
483,fascinating,2
484,school,2
485,befuddled,2
486,found,2
487,seeming,2
488,whether,2
489,field,2
490,reason,2
491,quietly,2
492,tom,2
493,class,2
494,tragic,2
495,grim,2
496,killer,2
497,close,2
498,flawed,2
499,everyone,2
500,compared,2
501,doc,2
502,surprising,2
503,worthy,2
504,uneven,2
505,hes,2
506,footage,2
507,canon,2
508,novel,2
509,greatest,2
510,meg,2
511,stuff,2
512,parts,2
513,beautifully,2
514,storytelling,2
515,poignant,2
516,stage,2
517,classic,2
518,countries,2
519,leave,2
520,clearly,2
521,disability,2
522,traditional,2
523,hypnotic,2
524,playful,2
525,incredibly,2
526,afraid,2
527,tremendous,2
528,slow,2
529,sexual,2
530,plenty,2
531,succeeds,2
532,grief,2
533,else,2
534,built,2
535,mystery,2
536,day,2
537,sorely,2
538,alone,2
539,ineffable,2
540,frequently,2
541,exercise,2
542,wrapped,2
543,features,2
544,kingdom,2
545,another,2
546,actors,2
547,stand,2
548,engagingly,2
549,ask,2
550,shots,2
551,fits,2
552,band,2
553,value,2
554,andersons,2
555,potential,2
556,lowbudget,2
557,atmospheric,2
558,devastating,2
559,absolute,2
560,nostalgic,2
561,wanted,2
562,tough,2
563,favourite,2
564,driven,2
565,passing,2
566,silly,2
567,kings,2
568,safe,2
569,period,2
570,examines,2
571,strangely,2
572,news,2
573,ahead,2
574,nature,2
575,metaphor,2
576,head,2
577,presence,2
578,learn,2
579,miracle,2
580,broken,2
581,lovingly,2
582,directing,2
583,transcends,2
584,consistently,2
585,comfort,2
586,hurt,2
587,theory,2
588,contemplation,2
589,catholic,2
590,bigelow,2
591,imperfect,2
592,couple,2
593,contemporary,2
594,unpredictable,2
595,seemingly,2
596,voiceover,2
597,south,2
598,bland,2
599,intense,2
600,surprises,2
601,apart,2
602,multiple,2
603,progressive,2
604,components,2
605,mostly,2
606,unexpectedly,2
607,sorry,2
608,cars,2
609,confusion,2
610,chaos,2
611,paying,2
612,soon,2
613,visuals,2
614,giving,2
615,amusing,2
616,extraordinary,2
617,ridiculous,2
618,moves,2
619,hit,2
620,order,2
621,curtis,2
622,disney,2
623,stay,2
624,explosive,2
625,sparkling,2
626,contradictions,2
627,edge,2
628,played,2
629,agony,2
630,actress,2
631,morbid,2
632,angel,2
633,wan,2
634,trilogy,2
635,cultural,2
636,psychological,2
637,hand,2
638,impressive,2
639,hits,2
640,strips,2
641,gifted,2
642,indeed,2
643,de,2
644,heads,2
645,cuts,2
646,monster,2
647,narratives,2
648,pulls,2
649,draw,2
650,laughing,2
651,animated,2
652,dare,2
653,reduce,2
654,stokers,2
655,bark,2
656,sequences,2
657,gore,2
658,place,2
659,moderately,2
660,free,2
661,literate,2
662,finds,2
663,wry,2
664,language,2
665,weight,2
666,adams,2
667,exquisite,2
668,delightfully,2
669,allows,2
670,machine,2
671,damaged,2
672,haunted,2
673,current,2
674,anything,2
675,detail,2
676,proves,2
677,focuses,2
678,eye,2
679,creative,2
680,putting,2
681,win,2
682,remake,2
683,live,2
684,important,2
685,wartime,2
686,places,2
687,clothes,2
688,hopeless,2
689,america,2
690,stars,2
691,moral,2
692,connection,2
693,dance,2
694,brutal,2
695,b,2
696,pull,2
697,ecstasy,2
698,themes,2
699,harrowing,2
700,nicely,2
701,critics,2
702,undeniably,2
703,rides,2
704,social,2
705,remain,2
706,special,2
707,come,2
708,hate,2
709,bumps,2
710,wont,2
711,masterful,2
712,used,2
713,leaves,2
714,command,2
715,screenplay,2
716,desperate,2
717,lean,2
718,return,2
719,cannot,2
720,runner,2
721,guys,2
722,weve,2
723,single,2
724,rarely,2
725,patience,2
726,concept,2
727,near,2
728,rooting,2
729,reminds,2
730,restrained,2
731,hilarious,2
732,messy,2
733,magic,2
734,kristin,2
735,ideology,2
736,evening,2
737,product,2
738,obviously,2
739,addiction,2
740,rousing,2
741,behind,2
742,creepy,2
743,trek,2
744,narration,2
745,level,2
746,engaged,2
747,journey,2
748,perfection,2
749,deftly,2
750,becomes,2
751,elevated,2
752,captain,2
753,charming,2
754,escapist,2
755,oldfashioned,2
756,blending,2
757,alan,2
758,mary,2
759,carter,2
760,peter,2
761,uncertain,2
762,chronicle,2
763,hold,2
764,inspired,2
765,logan,2
766,uses,2
767,quiet,2
768,secret,2
769,system,2
770,identity,2
771,party,2
772,side,2
773,eyes,2
774,looks,2
775,millers,2
776,mans,2
777,space,2
778,tender,2
779,anymore,2
780,faults,2
781,prize,2
782,hugely,2
783,pleasures,2
784,times,2
785,richly,2
786,men,2
787,assured,2
788,children,2
789,hopes,2
790,call,2
791,melodrama,2
792,innovation,2
793,logic,2
794,fear,2
795,since,2
796,including,2
