,Review,Freshness
10797,"Vantage Point is a thriller that has quite a lot on its mind. The very structure of the movie challenges the audience's patience, if not its wit.",0
1774,"The movie makes its point, and continues to hit you over the head with it.",0
4134,"Claire Denis shows crises, confrontations, madness and sex without regard and without fear, knowing how to guage when her story should be excessive and when to cease contemplation. [Full review in Spanish]",0
198598, The plotting is predictable but the film has heart and charm all the same.,1
52380,The [movie's] two halves are larded with European coming-of-age cliches... and never meld into a satisfying whole.,0
36362,The first feature from the creators of Wallace and Gromit is a plucking good time.,1
7981,Misses the sense of menace that it requires.,0
6049,The movie is a far more convincing fantasy of performance-as-self-discovery than the High School Musical franchise.,1
16033,"... in the end ""Pretty in Pink"" is as fraudulent as the junk it's supposed to transcend.",0
18483,"Follows some of that played-out drug thriller playbook, but also effectively dials up the nerve-wracking tension.",1
4003,"Even in its most inspired moments... ""Shazam!"" can still feel weirdly disjointed.",1
2486,"When the story shifts to Nashville, the screenplay by Nicole Taylor takes some sharp and insightful turns...",1
20840,A thrilling but frivolous ride.,1
9037,It remains watchable in spite of some rum narrative and performances from kids that woudn't get them a gig as extras on Byker Grove.,1
5436,"""Softness of Bodies"" works best almost as an elongated short. It's a fun character study with some interesting visual quirks and a strange, funny lead performance.",0
296687," Cusack, who self-deprecatingly mocks his iconic presence in '80s films like Say Anything, is terrific -- with an especially wonderful, demented monologue in which he explains why he and his sister are so screwed up.",1
176770, Knightley's Sugar Plum cannot elevate an entire movie on her translucent wings. The flick's promise is quickly drowned in its artificial simulation of emotions.,0
2104," Best of all is Parker, the perfect melancholy romantic hero, brooding and dark, yet touching and sentimental.",1
2736,"None of the filmmaking or acting really conveys that wonder of discovery; of falling in love. It's a facsimile of that feeling; a not-so-cheap copy. And, weirdly enough, it inspired in me only a small sense of loneliness.",0
31659,"Filled with cliches, a run-of-the-mill screenplay and the groan-inducing MTV Films formula.",0
52054,"a cloying mess crying for another rewrite, or maybe just the quick mercy of being plunked into the nearest trash can ",0
13563,"Since most thrillers ignore matters of logic, character and pacing, Joy Ride is an innovation because it doesn't.",1
95793," Moody, unsentimental, gorgeous to look at and a little meta: I loved it. ",1
454,The real sticking point of Imprisoned ... is how little it actually cares about capital punishment as anything more than a plot device.,0
4482,"I love the performances, but I'm just not super sold on the script, to be honest... I'm really ready for [Jordan Peele] to be his own voice now.",1
1704,"Eddie Murphy is perfect in the role of Rudy Ray Moore, and he's backed by fine supporting performances by Wesley Snipes and Da'Vine Joy Randolph, who plays Lady Reed/Queen Bee.",1
5235,Do yourself a favor and catch this amazing one-hour stand-up routine. The woman is a treasure and not to be missed.,0
303337," Those stupid interminable close-ups of Dee Wallace-Stone's suburban-mom face, upturned and simpering-will I ever be able to scrub them from my memory?",0
42029,"Tacky, sloppy genre exercise about how when screws are loose, even children can be psychotic.",0
121988, It too often feels like Happy End is a bunch of ideas in search of a movie.,0
3711,It's a strange and enticing mix: a superhero origin story and sci-fi paranormal effects mix with apocalyptic allegory.,1
29505,The stars outshine the production,1
1216,"It might not do much to advance peace in the Middle East, but this witty and charming comedy brings a unique perspective to the Israeli-Palestinian conflict.",1
3675,"[A] word-heavy, woke animation...The messaging comes with sledgehammer subtlety, the visuals offer a world of candy-coloured dullness and, despite a stellar voice cast veteran animator and director Kelly Asbury just can't bring the affair to life.",0
4975,"Along with the two main actors, there is the cinematography by Peter ""Per"" Wigand that is a third actor in their scenes, and music by Garth Stevenson that is the fourth actor. This quartet makes the movie come alive.",0
41226,"Where Shaun Of The Dead was inspired, this is comfortingly repetitive. But hey, isn't that the main attraction of any pub? ",1
38621,"As for the space stuff, well, George Lucas need not lose any sleep.",0
421363," The Lobster is a bit of everything. At times it's hilarious, especially in its first half-hour or so, sometimes it's deeply disturbing and occasionally thought-provoking.",1
4617,"laugh-light, derivative",1
5153,"A fantasy story without much plot, of how one person survives loss and the apocalypse.",1
471130," The tale of Rapunzel gets a cheeky make-over in this gorgeous Disney animation, which combines the studio's traditional hand-drawn look with the sculptural qualities of digital 3D.",1
32111,"The problem is, like Freeway, the dog, ""Darling Companion"" seems to have lost its way as it just wanders looking for someplace to land.",0
192,"Decent action sequences can't bring much meaning to this tepid, miscast melodrama.",0
19536,"The audiences for whom 'The Expendables' represents a wish belatedly fulfilled aren't expecting Shakespeare, but Stallone, once an Oscar-nominated screenwriter, is strictly on autopilot here. ",0
2367,"Everything we needed to know about this 2015 viral sensation could've been gleaned from Wrinkles' still-affecting debut video, but some filmmakers just want to watch the hours burn.",0
2034,"There's potential here for a decent, coherent fright flick -but this unscary mess, whose twists are as predictable as they are illogical and unlikely, is not that movie.",0
2093,"Michel Ocelot's combination of live film, photo-realistic images and animation brings out the magic of Paris as if were being seen for the first time.",1
26013,"Parents should be warned that about two-thirds in, it becomes less funny and instead gets pretty dark.",1
35339,Racing film with a genuinely odd atmosphere.,1
5541,"Fab 5 Freddie sheds light on myths, political propaganda surrounding sales, legalization and myths of cannabis and how it has aided in financially incentivizing incarceration. Insightful, educational and infuriating at how this myth has thrived",1
4803,"Joyce and Argott cleverly depict the story of an extraordinary con man; and like the aforementioned biopics, his story is a compelling one.",1
6644,"Loneliness and longing are at the center of these two women's lives, at least for a while, and they're expressed by nuance and implication in a pair of superb performances, and by a lovely evocation of the period.",1
435169," Largely set to go down as an embarrassing footnote in the careers of both its screenwriter Bret Easton Ellis and director Paul Schrader - unless, by some miracle, it gains cult success for its awfulness.",0
2997,Director Roger Kumble brings his rom-com charm to Netflix's first film that was primarily shot in New Zealand.,1
39020,What's wrong with Memoirs of a Geisha' isn't the casting; it's the film's languorous pace.,0
38975,"Golden's straightforwardly involving prose, while no great shakes, has been replaced by an extremely fussy affair that is, in effect, its own silk-wrapped pictorial novelization.",0
2521,"'Empathy, Inc.' advertises its low-rent look right from the start, with its wonderful throwback black-and-white cinematography.",1
37681,"A self-indulgent trip for Smith; pity, there's a fun movie in there dying to come out.",0
2043,Lives up to its title: it's no treat.,0
114884," Chilling, majestic piece of cinematic fright.",1
54,"By being willing to subject herself to the same analysis as others, [Ofra] Bloch gives the viewer more room to appreciate the ubiquity of the problem, and the opportunity to account for any bias she may have.",1
