,Freshness,Review
1,1, Director Wayne Wang proves with Maid in Manhattan that even predictable movies can leave you feeling warm and fuzzy.
3,1, A riveting documentary that explains education and the violent changes that are rocking Pakistan.
9,1," With its emphasis on nature and its mudbound farmers, this beautifully crafted film recalls other earthly European historical dramas set in an isolated countryside."
10,1," It's not like having a real film of Nijinsky, but at least it's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered."
11,1,"The intelligently observed and staggeringly beautiful Italian foreign-language Oscar nominee is about life, death and the search for the things that give meaning to both."
15,1, The Cell's striking visuals along with its fantastical costumes absolutely mesmerize the viewers.
17,1, [House of Wax] gleefully trots out all the clichés of the genre before going out in a blaze of glory with a truly spectacular final act.
18,1, treats the audience with respect without being overly pretentious
19,1,"This movie's calm, steady control keeps a wide variety of good actors in the same universe."
20,1," As usual with Pixar, the film looks like a moving work of digital art, though its inordinate length might test the patience of six year olds who will love the brilliantly staged action but not all the exposition-heavy dialogue."
22,1, The story is incredible.
24,1," It's virtually all Hemsworth's show and he's entirely up to the task of carrying the film on his broad shoulders: He's charismatic, fearless, confident, jokey and a good old Kentucky boy who just wants to get the job done ..."
25,1," An exhaustive, ruminative, angry and even occasionally gallows-humorous account of the strange domino effect of tragedy compounding incompetence compounding tragedy that dealt a critical blow to one of America's great cities."
30,1," An intense mix of horror, thriller and domestic drama, this is exquisite filmmaking."
32,1," It takes all of 10 minutes for Doremus' film to reveal itself to us: this is a movie about a conflicted father who has arrived at a crossroads, both morally and artistically."
38,1, An utterly amazing and riveting start to a brand new beginning...
46,1," Though ""Thor: Ragnarok"" may feel like a lightweight entertainment, it comes packed with the same ingredients that made Whedon's ""The Avengers"" so good."
48,1," A superb, impassioned concert film."
49,1," Though Nixey carries it across with some style, some intensity, and some graphic imagination, the whole isn't quite the sum of its somes."
56,1, A narrative shapeshifter that gleefully toys with its audience's perception of love and themselves.
58,1," A quick, efficient thriller that gets right to the point."
60,1," Greene has made a hard movie to argue with, even as he invites you to do exactly that."
61,1," Star Chris Pratt says it best, 'It's adventure, it's romance, it's a thriller, it's scary, but it's emotionally resonant.' Amen. Once you accept the premise, with good acting and special effects, this is a terrific way to spend two hours."
63,1," I like the idea of this, I like the look of this...It's kind of superficial, and I don't know [if] there's a whole lot of depth to whatever allegory this is intended to be. It's just an exercise in style, and that's cool. "
65,1," Imagination is the real star of Sendak's classic and Jonze and his co-writer, Dave Eggers, have expanded on its brief text to spin a story in which the tough and the tender smoothly coalesce."
67,1,Gallo's combination of crudeness and sophistication has a preternatural power.
68,1, This chick-lit flick is an 'English Patient' style epic.
70,1," [MacGruber is] a film that's easy to watch and consistently funny, even if it is as substantial as a merengue."
75,1," Romantic comedies are a staple of popular cinema and I Love You, Man follows a familiar trajectory, but in a refreshingly different way."
78,1, Co-writer and director Billy O'Brien does a masterful job of building up the creep factor but gets too ambitious in the second half of the story.
79,1," A fascinating and intoxicating tale of cannibalism that examines the savage sexual awakening of a shy adolescent, whose complex psychology and inner struggle are described with great delicacy. [Full Review in Spanish]"
82,1, Subjects that would seem like rom-com contrivance in lesser movies are sturdy and thoughtful here. It's a well-filled romance.
84,1," The story's time-travel elements never quite make sense, but subtle performances and directing give this film an unexpected edge."
87,1," Consistently warm, and in moments savvy and irreverent, this feminist day trip of Asian immigrants to a British searesort contains some lurid and funny fantasies staged in the colorful Bollywood style."
88,1, The Gospel According to André is the most essential fashion documentary since Bill Cunningham New York in 2010.
89,1," B.B. King. Bill Withers. Miriam Makeba. Celia Cruz. And James Brown, earning every inch of the title, ""Godfather of Soul,"" who all by himself probably deforested a few acres around Kinshasa with the volcanic blast of his set."
90,1," It illogically breezes by, even if much of the story shows our heroes doing little but hiding, fighting, and strategizing. "
91,1," Sure, we can nitpick things like Joe Colton not having a beard, or Roadblock not talking in rhyme, but the spirit of the property many of us loved in one form or another is there."
92,1," There are some great, brilliant action scenes, but this is more thoughtful and darker and more in the vein of Batman Begins. And that's a very good thing."
94,1," A solid-enough L.A. noir whose hook, and albatross, is the transformation of a beautiful Oscar-winning actress into a desiccated crone."
95,1,"Neither revolutionary in its approach or subject matter nor seamless in its storytelling, Billy Elliot nevertheless manages to sketch the lives of characters we come to care about."
99,1," God Help the Girl is a smart, powerful little flick. Sometimes I hated it. But I won't forget it."
101,1," Blue Jasmine captures a manic and delusional woman attempting to rebuild herself after a prodigal life she received, but never deserved."
102,1," It's clear that this portrait of a sick society is meant to explain, at least partially, the horrendous war that breaks out at the very end of the film, and the fascism that quickly followed in its wake."
104,1,"Confident, uncompromising and blisteringly realistic, Sweet Sixteen is a gritty and immediate film yet it goes right to the emotions."
105,1," Torres's...writing is blunt and evocative, like poetry turned prose. The new film adaptation of the book by director Jeremiah Zagar turns the story back into poetry again."
106,1," Storytelling in its purest form: it works as a no-fat thriller, yet it achieves nuanced character dimension and thematic complexity"
108,1," People cynically walk into so much expecting disappointment - auditoriums showing Woody Allen's annual crapshoot, for example. Sometimes, they get expected middling results. Sometimes, as with Allen's 30-year-old script, they get unanticipated surprises."
109,1, A meticulously researched and ably handled chronicle of one of the largest corporate scandals in American history.
110,1, Michael Douglas with his giant crazy man stare and beard to match is quite funny.
111,1," Despite a nagging sensation about its shortcomings, the acting and the atmospherics continue to haunt me."
114,1, It's clear that Mbatha-Raw is a precocious talent.
116,1, The two leads manage to carry the day through sheer gumption.
118,1," Its initial enigma seems to need no explanation; yet, once deciphered, the film does not falter but moves only deeper into the emotional territory it charts."
121,1, The rampaging reptile is back to remind us that monsters have meaning.
122,1," Marjorie Prime is ultimately more about its ideas than its characters, but that's OK, because they're fascinating ideas. "
124,1, It's so much fun that it's easy to overlook the film's rather conventional plot arc.
126,1," It's nice to see the always compelling Hawke - here, tenser and more laconic than ever - in a role where his face's deep stress lines come into their own."
128,1," This is a delightful movie, funny, absurd, anarchic and profound. "
129,1," One would have to invoke supernatural influences to make it believable, and that is pretty much what is being invoked."
133,1, A work of battered brilliance.
136,1," Mockingjay Part 2 is a fittingly dark end to the Hunger Games franchise, not as exciting perhaps as Catching Fire, but more politically charged."
137,1," As with fights, we understand at all times what we're seeing; Surprises aren't the result of whim or betrayal to the logic of the story. [Full review in Spanish]"
138,1,"Not only does the film effortlessly mock the sense of wonder and the emotional roller-coasters we've all felt watching Pixar's big-eyed sentient objects, but, in its own messed-up way, it provokes some new feelings, too: shock and awe ..."
140,1," No, it's no Fargo. It's the most flamboyant, erratic, spontaneous movie the Coens have ever made."
142,1," The movie is quite derivative, transplanting the familiar tropes of the fantasy genre onto owls. Still, I liked it well enough to endorse it for smaller children."
143,1,"... pay your money and take the ride,... laugh and ... be strangely moved by the odd-looking creatures Russell has assembled for his latest ensemble play."
149,1," Another exceptional piece of propaganda, designed to get you riled up, but also to get you to laugh."
152,1," ...while it doesn't achieve the brilliance of the modern Batman franchise, and while it certainly has a few flaws... the action is undeniably well-done and there are still good character bits throughout."
153,1," I was afraid this was going to be another case where a greedy studio doing a book adaptation managed to screw things up by splitting a book in half, ending up with a movie with half a story, but this one works out O.K."
156,1," The film gets long in the tooth and it's ambition to be both dirty and touching spreads a solid story a little thin...but ""Trainwreck"" has so much in it to like, not the least of which is the future potential of more Amy Schumer/Judd Apatow collaborations."
158,1," It's rare for a film about a Mexican drug cartel and the impossibility of the American Dream to be either disarming or funny, but Clint Eastwood has blessedly delivered one that is consistently both."
159,1, It's an example of a clever actress taking control of her career.
160,1, The film delivers laughs and heart and some strong ideas and energy...
161,1," An attractive and robust screen adaptation of the classic 1861 Dickens parable of false hopes, thwarted vanities and the mysterious workings of sowing and reaping."
166,1," ...a perfectly tuned sense of character nuance [that] holds you more spellbound than 90 percent of Hollywood's ""crowd-pleasers."""
167,1," Rugrats again blends poignancy with fun in a way that touches parents, even as it goes for kids with a run of bodily function and booger jokes."
169,1," The Adventures of Tintin can be a delight to look at, even if motion capture isn't your particular cup of animation tea."
170,1," Fusing the personal and the political, Bouchareb's stirring war drama comes with a modern-day resonance and plenty of punch. Recommended."
171,1," Vicky Cristina Barcelona, which Allen wrote and directed but did not act in, is Woody at the top of his game."
172,1," Combining, as Meyers films do, pleasant fantasy with aspirational settings. I know I'll watch it again when it comes on cable, or if I have the flu or need to fold laundry."
173,1," An epic, evocative of another epoch and of landscapes beyond time."
175,1," A bombastic three-hour saga that moves like a 1,000-page book left idle in front of a window fan."
176,1," The film never stops moving, and it's always a pleasure to watch."
177,1,"The ultimate destination creates the opportunity for Penn to draw up a summation for his protagonist's journey, and it's a moral that should satisfy those viewers looking for meaning and order."
178,1," Before taking a dark swerve into chilling verité at the close, BlacKkKlansman ... kicks up suggestions of the pilot for a great 1970s mismatched cop show. It's that funky."
181,1," The film teases us with a paradox: arguably Nim's keepers were wrong to try to endow their protege with human attributes, but can we empathise with his suffering without making the same mistake?"
183,1," If you watched all of the ""Mission: Impossible"" films in a row, starting with 1996's original, would they feel like a James Bond version of ""Boyhood""? Maybe."
184,1," Jordan Peele has made something scathing, hilarious, and -- as unlikely as this may sound -- totally fresh. I am pleased -- who am I kidding? I'm f----g thrilled -- to announce that Get Out is a legitimately great movie."
185,1, A warm and moving sleeper hit.
186,1, It's a powerful drama that works on a couple of levels.
187,1," It's a great subject, with great objects of fascination, study, interpretation."
191,1," An action thriller that, while flawed, still reminds us that, if he really wanted to, The Rock could still become the next Schwarzenegger."
192,1," The specter of [John] Hughes is all over this entertaining, clever, and finally heartwarming comedy."
193,1," In these linked vignettes, Another Year paints an empathetic portrait of working-class contentment and anxiety."
194,1," First and foremost...the reason to go see ""Blue Crush"" is the phenomenal, water-born cinematography by David Hennings."
197,1," At its best, Tropic Thunder skewers impotent directors, fascist producers, prima donna stars and classic scenes from the camo-fatigues genre."
198,1," A meticulously shot and sharply written character study, it plays like a blend of the Coen brothers and Quentin Tarantino."
199,1," The acting is very convincing by Hoss and Zehrfeld. Writer-Director Christian Petzold (""Barbara"") has crafted a compelling ghost story about a woman, thought to be dead, who gets a chance to see what people really thought about her."
203,1," Exciting, provocative genre cinema."
204,1," The humor is spot on, and the film drew some genuine laughs from me, especially the scene with Richie and the cricket bat."
205,1," The sins of fathers, sons and lovers come pouring onto the audience in a torrent of stifling intensity."
208,1," Endhiran -- The Robot provides maximum bang for its reported $34 million budget with a sensationally overstated and overwhelming mash-up of American-style, f/x-driven sci-fi spectacle and exuberant Bollywood-style songs, dance and romance."
209,1," A perfectly enjoyable exercise in superheroics, and much more fun to watch than 'Man of Steel'."
211,1,Delivers the goods as a zippy piece of sci-fi pulp.
212,1," A sometimes scathing, sometimes goodnatured satire of the French film industry."
213,1," ""The Exception"" is a diverting and occasionally exciting film, though it is rarely disturbing or thought-provoking in ways the material might require."
