,Review,predicted_train
25985,"The film reveals Eli Roth hesitantly as a family film director, although the originality of the story compensates for his episodic energy drops. [Full Review in Spanish]",1
117079, There simply has yet to be a decent film adapted from a video game. Why studios persist is a testament to the lobotomised throngs who encourage them by paying to see this type of gleet.,1
85518," There's not much resonance, which is a shame because the film has a thoroughly engaging premise and the actors are charming.",1
8395,"This ugly and rather mean-spirited film, with jokes that are so lowbrow they're totally underfoot, creaks through a number of recycled road trip gags.",1
5162,"The film's indefinability is admirable while also frustrating, the plot leaping around in a rather graceless fashion, spinning back, forth and sideways with ambition but not always success.",0
287,My Dog Skip probes the concaves of memory to tell an honest tale and produce what is easily one of the best films for the entire family.,1
2263,It makes for good family viewing.,1
39415," You may find yourself waiting for a commercial break. Sadly, it never comes.",1
49991,"After his first two laughably bad films, director Bartkowiak finally gets close to delivering a decent action picture. Buried within it is a half-hour shorter movie that would sizzle.",1
39451, This is a compelling fairy tale that will leave you reaching for the hankies by the end of the movie.,1
41232,"The World's End marks the third part of Pegg and Wright's self-described ""Cornetto trilogy."" It's an appropriate moniker. With this final film they've slowed down a bit, grown up a lot. And saved the richest bite until last.",0
40089,"Old and new, Skyfall follows the well-worn patterns of its predecessors",1
75,37 Seconds is overall a winning character study about a woman coming of age way later than she probably should.,0
5676,Here's something you don't see every day: a high-school comedy for old poops.,0
365234, The Shack does address the questions of a grieving and bitter father in need of healing through its theological references.,1
28804,"I know, I know, I'm supposed to get sentimental about this heart-warming tale. But I couldn't believe a moment of it, and never identified with little David.",1
4409,a love letter to this art form.,1
1915,"Emanuel is a testament to heroes, but their heroism is heartachingly candid exemplifying how they radically confronted the immense evil enacted against their entire community.",1
27531,An outstanding movie for families with older kids.,1
391407," On the basketball court, this gritty drama has some scoring ability. But off the court, it's an unconvincing mess of clichés.",0
1553,"It's really very rich and incredibly well delivered. It's a good story anyway, but if you like films to make you think, try not to miss this.",1
279496, This pitiful would-be-sleazy melodrama is so terrible it can't even manage to be cheesy.,1
1534,"It's not easy to watch 'Netizens,' but this revealing documentary ends up as a must-see for everyone interested in justice and fair play.",1
23574,"The film is interesting, sexy and at times silly.",0
5419,"Tell It to the Bees is a solid movie - at least until it mobilises a swarm of the eponymous insects as a deus ex machina. However, the screenplay by Henrietta Ashworth and Jessica Ashworth doesn't offer a clear enough sense of who the protagonist is.",1
329213, It is ironic how human the falsity can be.,1
66185, A winning tale of the persistence and creativity behind one of the most famous and fuzziest faces in the world.,1
2831,Ladyworld is an intriguing experiment that runs out of steam.,1
283144," Everything about Hairspray is huge -- big figures, big 'dos, big musical numbers and big fun. It deserves to be a supersize hit.",1
