,index,0
0,film,64
1,movie,62
2,like,46
3,make,29
4,much,27
5,one,26
6,even,24
7,story,20
8,would,19
9,little,19
10,comedy,18
11,funny,18
12,characters,18
13,doesnt,18
14,time,18
15,bad,17
16,first,16
17,way,15
18,movies,15
19,cant,15
20,might,15
21,plot,14
22,enough,14
23,isnt,14
24,never,14
25,feel,13
26,good,13
27,many,12
28,films,12
29,get,12
30,something,12
31,theres,12
32,really,11
33,work,11
34,far,11
35,know,11
36,cast,11
37,makes,11
38,rather,11
39,two,11
40,thriller,11
41,also,10
42,performances,10
43,thats,10
44,find,10
45,despite,10
46,sense,10
47,could,10
48,minutes,9
49,feels,9
50,action,9
51,well,9
52,interesting,9
53,see,9
54,right,9
55,made,9
56,better,9
57,youre,9
58,want,9
59,yet,9
60,full,9
61,dont,9
62,anyone,9
63,great,8
64,review,8
65,drama,8
66,probably,8
67,quite,8
68,pretty,8
69,hard,8
70,big,8
71,director,8
72,latest,8
73,seems,8
74,point,8
75,less,8
76,take,8
77,lot,8
78,jokes,8
79,picture,8
80,seem,8
81,character,8
82,think,7
83,whole,7
84,come,7
85,life,7
86,tries,7
87,falls,7
88,simply,7
89,actors,7
90,ultimately,7
91,violence,7
92,narrative,7
93,script,7
94,thing,7
95,emotional,7
96,maybe,7
97,man,7
98,new,7
99,dead,7
100,nothing,7
101,world,7
102,entertainment,7
103,left,7
104,certainly,7
105,together,7
106,may,7
107,hollywood,7
108,part,7
109,getting,6
110,long,6
111,original,6
112,trying,6
113,sequences,6
114,second,6
115,going,6
116,dark,6
117,though,6
118,fun,6
119,romantic,6
120,best,6
121,political,6
122,gags,6
123,plenty,6
124,screen,6
125,becomes,6
126,times,6
127,takes,6
128,attempt,6
129,why,6
130,exactly,6
131,least,6
132,truly,6
133,humor,6
134,exercise,6
135,forgettable,6
136,unfortunately,6
137,kind,6
138,white,6
139,zombie,6
140,things,6
141,elements,6
142,tale,6
143,keep,6
144,turns,5
145,youll,5
146,another,5
147,experience,5
148,stupid,5
149,ever,5
150,short,5
151,back,5
152,scene,5
153,watching,5
154,offers,5
155,still,5
156,given,5
157,2,5
158,lack,5
159,old,5
160,scary,5
161,performance,5
162,without,5
163,ridiculous,5
164,star,5
165,anything,5
166,place,5
167,laughs,5
168,substance,5
169,instead,5
170,history,5
171,nearly,5
172,laugh,5
173,head,5
174,family,5
175,involved,5
176,moments,5
177,silly,5
178,effort,5
179,boring,5
180,line,5
181,effects,5
182,comes,5
183,genre,5
184,gets,5
185,people,5
186,mostly,5
187,real,4
188,lost,4
189,society,4
190,running,4
191,stars,4
192,got,4
193,epic,4
194,credible,4
195,ones,4
196,barely,4
197,success,4
198,runs,4
199,tension,4
200,summer,4
201,lacks,4
202,art,4
203,look,4
204,merely,4
205,spanish,4
206,cheap,4
207,sometimes,4
208,dramatic,4
209,premise,4
210,side,4
211,book,4
212,deserve,4
213,viewers,4
214,end,4
215,title,4
216,dialogue,4
217,whats,4
218,game,4
219,fails,4
220,say,4
221,tedious,4
222,whose,4
223,based,4
224,version,4
225,piece,4
226,biggest,4
227,parts,4
228,predictable,4
229,melodrama,4
230,miss,4
231,fine,4
232,expected,4
233,job,4
234,failed,4
235,care,4
236,us,4
237,violent,4
238,leading,4
239,low,4
240,plays,4
241,money,4
242,wont,4
243,leads,4
244,clichés,4
245,talent,4
246,final,4
247,word,4
248,especially,4
249,around,4
250,done,4
251,need,4
252,rest,4
253,add,4
254,three,4
255,last,4
256,taking,4
257,content,4
258,heart,4
259,manages,4
260,found,4
261,trash,4
262,ride,4
263,incredibly,4
264,strictly,4
