Freshness,Review
0, Parental Content Review
1, Director Wayne Wang proves with Maid in Manhattan that even predictable movies can leave you feeling warm and fuzzy.
0, the lack of dramatic development doesn't leave much for the actors to work with
1, A riveting documentary that explains education and the violent changes that are rocking Pakistan.
0," The problem with The Informant!, aside from that overcoaxing exclamation mark, is that it's not especially funny."
0, Too tepid and too predictable of a picture to simply sail away into the sunset.
0, Bernie lacks the edge of malice one might reasonably expect from so nasty a tale.
0, Simply one of the poorest entertainments ever offered up to the world's children.
0," More drab ""fi"" than dreamy ""sci."""
1," With its emphasis on nature and its mudbound farmers, this beautifully crafted film recalls other earthly European historical dramas set in an isolated countryside."
1," It's not like having a real film of Nijinsky, but at least it's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered."
1,"The intelligently observed and staggeringly beautiful Italian foreign-language Oscar nominee is about life, death and the search for the things that give meaning to both."
0, Yields at least two spectacular scenes... The rest is a little more uneven. 
0," The 'Mr. Holland's Opus' meets 'Rocky II' story will satisfy some who long for innocuous content, even those who know James deserves better material."
0," The Lawnmower Man, Max Headroom and Johnny Depp walk into a bar. They get drunk and decide to make a movie."
1, The Cell's striking visuals along with its fantastical costumes absolutely mesmerize the viewers.
0, Director Takashi Miike's dish of sukiyaki spaghetti ala Sergio Corbucci is badly seasoned with scraps of reservoir dogs.
1, [House of Wax] gleefully trots out all the clichés of the genre before going out in a blaze of glory with a truly spectacular final act.
1, treats the audience with respect without being overly pretentious
1,"This movie's calm, steady control keeps a wide variety of good actors in the same universe."
1," As usual with Pixar, the film looks like a moving work of digital art, though its inordinate length might test the patience of six year olds who will love the brilliantly staged action but not all the exposition-heavy dialogue."
0," Soon blands out into the glib, ethnicky slapstick that is the regrettable stock in trade of Nia Vardolos."
1, The story is incredible.
0, It's one of those movies which are so desperate to become cult viewing that they feel no obligation to be any good.
1," It's virtually all Hemsworth's show and he's entirely up to the task of carrying the film on his broad shoulders: He's charismatic, fearless, confident, jokey and a good old Kentucky boy who just wants to get the job done ..."
1," An exhaustive, ruminative, angry and even occasionally gallows-humorous account of the strange domino effect of tragedy compounding incompetence compounding tragedy that dealt a critical blow to one of America's great cities."
0, The final segment is as cliched and as predictable as any of the many films that have chronicled the rise and fall of well-known musical figures.
0, It is a bland attempt of supernatural horror that becomes more and more embarrassing in every imaginable aspect. [Full review in Spanish]
0, Avoid at all costs.
0," Ultimately, it dashes into so many close-ups of carnage and neckbreaking, it skids scuzzily close to spy-snuff. Call this Bourne-porn; Safe House needed a safe word."
1," An intense mix of horror, thriller and domestic drama, this is exquisite filmmaking."
0, Gorgeously animated children's film about the mythical guardians of childhood just misses being magical.
1," It takes all of 10 minutes for Doremus' film to reveal itself to us: this is a movie about a conflicted father who has arrived at a crossroads, both morally and artistically."
0,"Despite the estimable talent on hand both behind and in front of the camera, the story never comes to convincing life and doesn't, in the end, have anywhere particularly surprising or interesting to go."
0," Mostly serves as an overwrought ""woe-is-me"" tale about a director in over her head."
0," Writer-director David Lowery strains for poetry at every turn, and only the strain registers."
0, This is a movie about how watching movies is stupid.
0," I certainly wouldn't go so far as to call it a bad movie, it's just a movie that could have used a little improvement in the story department."
1, An utterly amazing and riveting start to a brand new beginning...
0," [A Cure For Wellness] doesn't just stretch the limits of plausibility, it punches plausibility in the guts, pushes it into a river and waves goodbye."
0," Amirpour gives us little reason to care (apart from Miami Man's nice portraits of his daughter, maybe) and so, instead, I wondered: What if a person tried not to do terrible things?"
0," Stallone plopping Statham in this bore feels like an alpha setting up his successor to fail, like Zeus swallowing up his challengers before they force him into retirement."
0," Inorganic and implausible, this Bollywood-inflected rom-com features little comedy and even less romance."
0, All the people of Chuck & Buck feel very human.
0, Suffers from bouts of listlessness and lackluster writing.
0," Too bad, though, that The Crucible fails to probe deeper into the sexual, religious, and political conditions that can give false accusations so much power -- even today."
1," Though ""Thor: Ragnarok"" may feel like a lightweight entertainment, it comes packed with the same ingredients that made Whedon's ""The Avengers"" so good."
0," For those with a burning curiosity to know how The Lord of the Rings as directed by Michael Bay might look, Wrath of the Titans provides an idea."
1," A superb, impassioned concert film."
1," Though Nixey carries it across with some style, some intensity, and some graphic imagination, the whole isn't quite the sum of its somes."
0,"There are some funny and charming lines, but the film is overlong and it rambles a bit."
0,It fumbles a bit by prioritizing the goofy antics of its white cast over what turns out to be a smart depiction of non-Western life.
0," ufus Sewell and Rupert Graves do add some thespian punch as the intrepid video director and the pampered producer, but it's not nearly enough to keep this one from extremely bombing."
0, The film is strictly by-the-numbers slasher boilerplate. It won't endure past the weekend.
0," We're told what we already know and ultimately, the film's two lead characters remain its most elusive ..."
0," Unnecessarily gloomy and emotionally convoluted, Spike Jonze and Dave Eggers' script for Where the Wild Things Are is a melancholy adaptation of the one-two punch that is the heavily illustrated, scantly written book by Maurice Sendak. "
1, A narrative shapeshifter that gleefully toys with its audience's perception of love and themselves.
0," Rather than reasoned thought and debate, the only thing this movie inspires is exasperation."
1," A quick, efficient thriller that gets right to the point."
0," 'God is punishing me,' says the matriarch. Not just you."
1," Greene has made a hard movie to argue with, even as he invites you to do exactly that."
1," Star Chris Pratt says it best, 'It's adventure, it's romance, it's a thriller, it's scary, but it's emotionally resonant.' Amen. Once you accept the premise, with good acting and special effects, this is a terrific way to spend two hours."
0," It is as if The Sunlit Night aims to be unconventional merely for the sake of it. It has all of the dressings of a lovable indie, complete with the unusual setting and affable feel, but ultimately, it's structured in a way that fails to due it justice."
1," I like the idea of this, I like the look of this...It's kind of superficial, and I don't know [if] there's a whole lot of depth to whatever allegory this is intended to be. It's just an exercise in style, and that's cool. "
0, Rent Drop Dead Gorgeous if you want to see how a funny movie on the beauty pageant world is done! This is all formula.
1," Imagination is the real star of Sendak's classic and Jonze and his co-writer, Dave Eggers, have expanded on its brief text to spin a story in which the tough and the tender smoothly coalesce."
0," Given all the name-brand products invoked, their misadventure suggests a sort of nightmarish shopping spree."
1,Gallo's combination of crudeness and sophistication has a preternatural power.
1, This chick-lit flick is an 'English Patient' style epic.
0," Despite its continual profanity and sexual references, it isn't particularly offensive, just mostly forgettable."
1," [MacGruber is] a film that's easy to watch and consistently funny, even if it is as substantial as a merengue."
0," Almost nothing happens for long stretches before a plot ""twist"" so obvious that only the dull-witted could fail to see it coming."
0," By trying to recapture the magic of the original, Neighbors 2 has disproved the existence of magic."
0," Farhadi's films are suffused with an oppressive atmosphere, and there is something increasingly formulaic in his storytelling."
0," If forced to choose, skip Night School -- a remedial-level comedy with Kevin Hart [and Tiffany Haddish]."
1," Romantic comedies are a staple of popular cinema and I Love You, Man follows a familiar trajectory, but in a refreshingly different way."
0," Wild Target neatly and boringly makes a surrogate family out of its ill-matched trio of caricatures, and its epilogue of domesticity is enough to make you reach for your revolver."
0," Two directors and six writers, and all they had to do was find an excuse for the kind of party scene that happens only in lame-brained movies like this. Is this the best they could come up with, really?"
1, Co-writer and director Billy O'Brien does a masterful job of building up the creep factor but gets too ambitious in the second half of the story.
1," A fascinating and intoxicating tale of cannibalism that examines the savage sexual awakening of a shy adolescent, whose complex psychology and inner struggle are described with great delicacy. [Full Review in Spanish]"
