,title,review,rating
0,My Hindu Friend (Meu amigo Hindu),Babenco's cinematic farewell isn't perfect by a long shot. But it's brave and poetic when it comes to facing mortality and rediscovering life.,fresh
1,My Hindu Friend (Meu amigo Hindu),This is a good film if you are looking for something easy going to kill some time without the struggle of mentally unlocking complex twists and story arches.,fresh
2,My Hindu Friend (Meu amigo Hindu),"My Hindu Friend is a celebration of life, love and art and everything that goes with it - the good and the bad.",fresh
3,My Hindu Friend (Meu amigo Hindu),"I wouldn't miss it; it's a film that's more than facing mortality and the life you lived, it's about relearning how to live, and being honest about what makes you care about living at all.",fresh
4,My Hindu Friend (Meu amigo Hindu),"...surreal, reflective (though never sentimental) with Fellini-esque flights of frank sexuality, eroticism and existential whimsy...",fresh
5,My Hindu Friend (Meu amigo Hindu),"Dafoe certainly dedicates himself to the material and the shadowy cinematography from Mauro Pinheiro Jr emphasises every cheek and bone hollow of its sick central character, but the project as a whole is too self-absorbed to be absorbing for anyone else.",rotten
6,A Shaun the Sheep Movie: Farmageddon,Shaun's new film is for the whole family to enjoy. [Full review in Spanish],fresh
7,A Shaun the Sheep Movie: Farmageddon,"You can see the major twists and emotional beats coming from a mile away, but that's part of Farmageddon's soothing charm, too: You don't have to worry too much when things look dire, because you know it'll all turn out okay in the end.",fresh
8,A Shaun the Sheep Movie: Farmageddon,"A sly, clever, and funny animated film. ... A sheer delight.",fresh
9,A Shaun the Sheep Movie: Farmageddon,I was delighted throughout.,fresh
10,A Shaun the Sheep Movie: Farmageddon,"The very adorable, very cute A Shaun the Sheep Movie: Farmageddon is charming top to bottom, with sly sight gags and a rapturously colorful stop-motion animation style.",fresh
11,A Shaun the Sheep Movie: Farmageddon,"Any money Netflix spends making movies with Aardman is welcome, and well spent.",fresh
12,A Shaun the Sheep Movie: Farmageddon,"It's not as inspired as the original, but it's unbelievably sweet.",fresh
13,A Shaun the Sheep Movie: Farmageddon,A novelty in the contemporary landscapes of children's movies.,fresh
14,A Shaun the Sheep Movie: Farmageddon,"Shaun the Sheep is an antidote to the many babbling SpongeBobs, catchphrase-spewing anthropomorphs and singing analogs for Target-exclusive merchandise that dominate animation.",fresh
15,A Shaun the Sheep Movie: Farmageddon,Unabashedly whimsical childishness carried off with such intoxicating upbeat energy that it's pure bliss to watch it with or without a child in tow.,fresh
16,A Shaun the Sheep Movie: Farmageddon,It's a great film to watch as a family and everyone will laugh and enjoy the cuteness together. And of course the claymation animation is so well executed.,fresh
17,A Shaun the Sheep Movie: Farmageddon,"This sequel could do with fewer recycled references to the genre it joins, but the experience is still light and frothy enough that the smile likely won't leave your face as it breezes by.",fresh
