,title,review,rating
0,Frozen II,A distressingly unnecessary (and fairly tedious) sequel...,rotten
1,Frozen II,Frozen II is the exact kind of sequel that more film series need: it takes chances (within the framework of a Disney animated feature)...,fresh
2,Frozen II,[A]n ultimately satisfying story of more mature themes for an audience that's grown out of the dress-up stage.,fresh
3,Frozen II,should be applauded for taking its own route while maintaining much of what made the original so enjoyable and memorable,fresh
4,Frozen II,"I sincerely appreciated the respect paid toward the Northuldra. The fictional Indigenous tribe based on Sámi culture. A fun and magical film, but way too many songs.",fresh
5,Frozen II,"It makes the world of Frozen feel infinite, even if the characters and the story make it feel like it's a small world after all. Perhaps I should just let it go.",rotten
6,Frozen II,"With no surprises, without looking for its female characters stand out, Frozen 2 disappoints, and misrepresents the magical sense that the first installment had. [Full review in Spanish]",rotten
7,Frozen II,"Will please fans of Anna, Elsa and her friends. [Full review in Spanish]",fresh
8,Frozen II,The whole movie is esthetically beautiful. [Full Review in Spanish],fresh
9,Frozen II,Frozen II is a notch below its predecessor but still has a lot to offer.,fresh
10,Frozen II,"The story works well enough and there is enough humor in it to go along with the more serious elements. The animation, by Walt Disney Animation studios, is beautiful.",fresh
11,Frozen II,Arguably the true stars of Frozen were the Lopez husband-and-wife songwriting team.,fresh
12,Playmobil: The Movie,"There's a plot in there somewhere, but most of the time it's subsumed by a frenetic attempt to showcase the whole Playmobil range in an extended kinetic eruption of primal sound and primary colour.",rotten
13,Playmobil: The Movie,"Playmobil: The Movie isn't as funny as some of the direct-to-video Lego-related movies, either, and that's very much the field it competes in, theatrical release or not.",rotten
14,Playmobil: The Movie,"Best watched running in the background of a playdate for pre-schoolers, buried under the noise of kids' own imaginations but offering the occasional distraction from a total toddler meltdown.",rotten
15,Playmobil: The Movie,"It does not even work as a commercial, never showing us why these toys could be especially fun to play with.",rotten
16,Playmobil: The Movie,"But much like the Playmobil toys, with their poky feet and weird, lobster-like hands, Playmobil: The Movie is similar but inferior to the Lego equivalent.",rotten
17,Playmobil: The Movie,"[F]or a movie so clearly doubling as product placement, it's also fun, a cartoon (bookended by live-action sequences) which allows talented actors to riff on unexpected themes.",fresh
